label|text
-1|osteoporosis drug poison take dose Friday early afternoon experience right groin pain Saturday morning difficulty open mouth pain right jaw Saturday afternoon fever joint body ache continue Monday abdomen feel like kick finally able sit today Tuesday sip gingerale Big Pharma try kill care people poison work hear line fire doctor
-1|Osteoporosis severe bone pain joint pain knee elbow shoulder hip tenderness right rib chill fatigue take dose miss work symptom Im nurse
-1|osteo bad effect state Boniva site bad drug PRESCRIBE HORRIBLE
-1|Osteoporosis Diarrhea severe pain flu like symptom dizziness faint feeling stomach cramp day horrible medication think chemotherapy treatment year ago take dose
-1|type diabete MASSIVE angina pain abdoman dizziness nausea heart failure create severe effect severe reaction Januvia trouble
-1|weight loss BG control briefly feel heaviness eye blurred vision affect surprised injection painless fear needle needle pain free overcome fear
1|pco little nausious start take Byetta today insulin resistance tie pco know eventually turn diabetis yr have baby blood sugar high try read info provide excited positive effect go bring take shot hour ago minute shot eat sensable lunch feel little nausious terrible
-1|high blood pressure weak gi distress involuntary muscle movement take dose amp me mess week time eat feel bad acute IBS sensitive med explain dr prescribe nt concerned try normal muscle jerking subside couple day take ttake drug
-1|high blood pressue Dizzy nausea vertigo day knee joint pain tired gym confused feeling forgetful pill prior take Bystolic feel fine numerous patient experience extreme effect begin think entire blood pressure regulation marketing scam parent grand parent live take single pill BP analyze frequently eat healthy food exercise forget pill effect
-1|pneumonia severe non stop vomiting pill Son severely dehydrate hour non stop vomiting admit PICU kidney failure extremely low blood pressure vein accept IV IV groin day stay PICU doctor think sepsis pneumonia consider reaction Cefzil convince medication year later prescribe drug sinus infection pill vomiting begin luckily time know immediately rush ER begin treatment
-1|secondary infection upper tract dose mess vomiting extremely exhausted second dose evening second day vommite body stop medication hate
-1|upper respiratory rapid heart rate beat minute week tingle head spine arm er visit shoot know lady die thinking age effect shot maybe relate hormone woman cycle maybe potassium low take little problem
-1|treat dr pneuomia give injection mix celestone mm rocephin mm day take pill avelox mg direct dr lose feeling right arm shoulder right face finger feel take e r request doctor stroke sure injection give doctor office casue stroke healthy man active health issue cause illness advise give celestone research medicine nan
-1|ED Hot flushed face neck immediately take sex ok hour later experience chest pain take hospital day dosage take experience increase heart rate palpitation experience mild pain low area effect include diarrhea fatigue mild exercise believe drug available market drug effect worth
-1|ED Extreme leg pain fever headache nausea work ED effect worth
-1|erectile dysfunction sleep day muscle pain leg hamstring cavs neck shoulder terrible hurt bad sleep headache day pain night keep night sleeping day go bathroom painful muscle buttock wet sore product work far suppose take care problem way effect
-1|experiment pain body unbearable hour intense migraine come last day hour low left leg throbbing painful far lose night sleep ibuprofen codeine touch pain hope wear asap Day take erection unbelievably solid sex hour morning non sufferer ED definitely effect
-1|ED morning wake headache hour take drug suffer lethargy drowsiness hour suffer leg muscle pain acid indigestion bloat vomiting diarrhea intend effect mild short live
-1|BPH ED bring Propecia context fit male run swim dance weight take quarter mg hour Cialis tablet cause severe muscle fatigue flu like symptom dizziness incredible fatigue nt hour text suggest far long have issue day immediate hour post drug hideous certainty give John Thomas good o deliver erection demand big girth etc risk worth take
-1|hard take mg work
-1|sexual pleasure take ciali erection last minute dose mg wake morning severe pain leg thigh hip day pain hurt able sleep bend pick thing floor small pain badly recomend drug unsatisfied know long pain plz drug use live painfull life
-1|hard erection vacation mild headache bad leg cramp try find way help pain worth effect lol
1|Enhance Erection amp Premature Ejaculation feel effect mild headache nt feel effect Pakistan year old ft amp inch height slim amp fatty body year marry life son amp daughter short come erection problem Premature Ejaculation time yesterday Saturday night take mg Cialis hour feel teen age rock hard amp incredible erection additional length valuable thickness year amazing solid non stop performance continuous half hour intercourse enjoy different position ciali doubt last long wife appreciate enjoy yesterday Sunday morning feel strong erection hour feel good erection anytime think well mg Cialis Weekend Tablet start Friday night till Sunday night purchase mg Cialis tablet
1|achieve erection start Friday today Monday take pill mg tab Friday tab sit slight headache day feel pain deep calf hip area low hip area neck take tablet Aleve Saturday night horrible pain get hard find hard adjaculate achieve hard successful sensitive notice get hard public slight arousal effection touch arouse quickly
1|anxiety new partner Pain low day yep stuffy nose hear problem mumbling voice approx hour take cramp yep work immediately especially big guy muscle guy hour work well morning new girlfriend woman anxiety fail doesn t help viagra well Viagra put teflon bullit min know mean woman suspect fishy go go oscar win actor horny good answer overdose help sure like ciali make difference hardness duration Cialis overdose mumble stuffy nose kinda mumbling save pill girl helpfull relax french dutch swedish help german frostyer alps good luck pleasure pain collegue
1|ED day take tablet begin experience mild pain outside calf recover strenuous hike exercise sure connect single low dose tab shall feel fortunate negative effect experience tadalafil mg great Hardon feel natural force way go min have great time happy tired go sleep come Hardon subside normally aware ready spring anytime morning hour come experience intense orgasm life rest day horny head penis sore tadalafil effect evident couple day later
1|ED effect satisfy
1|ED Facial flush half hour take go away half hour turn porn star
-1|migrane dug suck give compazine severe migraine min later edgy jittery sit drug u suffer greatly ban nan
-1|migraine trigger horrible anxiety skinn crawl want run like crazy day receive iv nasty drug m have nausea anxious drug bad enemy nan
-1|nausea minute get compazine iv ct scan begin feel like sit tell lay ct scan begin go bathroom minute notice black line eye like punch keep tell raise foot begin panic decide need pick kid ymca nurse tell have allergic reaction medication give combat let drive call cab feel walk slowly world super speed wait cab kid play step feel talk cab driver pick tell ymca don t know give go die tonight get ymca tell cab driver wait time get desk barely s nan
-1|nan iv hospital food poisoning cause heart racing panic shake shortness breath ask take iv tell compazine cause effect call psych nurse tell unhook iv go home shake race heart hour call friend pharmacist say cause effect small percentage people obviously administer list nan
-1|nausea post surgery give iv nausea hospital half dose uncontrolable shake start leg go jaw immediately know wrong give benadryl adavan counter act effect calm work minute bad drug zofran chronic nause stomach condition effect
-1|severe headache soon compazine benadryl administer iv feel hot feeling rush arm progress body especially chest abdominal area remember think omg reverse feeling want run room high jittery extremely drowsy time keep turn head shake leg skin crawl tingling feeling worm move underneath skin difficult time catch breath heart beat irradically later evening bad leg cramp stretch day chest pain difficulty breathe ask doctor give response headache medicine ask receptor blocker sort tell report effect drug allow drug worth horrible experience nan
-1|migraine vomit nausea severe uncontrollable facial neck jaw movement seizure like medicine nan
-1|nausea horrible anxiety attack feeling bad want kill away nan
-1|Migraine extreme panic attack sudden agoraphobia restlessness shortness breath extreme dysphoria give migraine cocktail er iv drug benadryl toradol take w o issue compazine min administrate feel sudden onset fear restlessness like feel couldn t comfortable have shortness breath possible try calm self run place try describe feel er dr didn t care min later gratefully asleep drug probably interrogation say possible soon possible home sleep new nightmare situation
-1|migraine awful feel anxious suicidal nausea day symptom describe feel day later know ride symptom help
-1|Morning sickness take medication rectal suppository form nausea relate pregnancy dosage info package say dose nausea need take p m hour half throw take additional dose sleepy jittery hour later sleep night wake morning jittery restless sit couple hour feeling intensify heart race stop pace dizzy blur vision strange feeling dread think cliff near throw kid terrify hurt child thank god babysitter come day leave call husband come work effect start subside afternoon didn t away fully day half take medication nausea problem like hope fetus ok scary nan
-1|MIgraine rip iv run hospital go er migraine lot pain got rid migraine soon get iv start move uncontrollably terrifying time ve try tell nurse freak walk leave paranoid rip iv clothe flee hospital door run way car husband wait confused think discharge normal scared get sleep night control body movement day go er honestly think go mind s year m terrify er take new medication experience life change drug zoloft anxiety panic attack
-1|nausea w Sickle Cell Pain Attack instantly feel jittery agitated like need run hospital grace god home alive sleep night morning work morning bad experience life feel way give reglan love doctor experience find angry allow give
-1|Headache nausea suicidal thought anxiety last month think class action lawsuit maker compazine
-1|awful effect one list compazine iv year ago pill form remember adverse effect want comment people know tell effect exactly believe hosital use medicine nausea day age zofran anti nausea dissolve tongue work wonder know medicine affect different want preach hear drug universally toxic er need nausea discuss option instead compazine suffer anxiety make upset hear terror suffer ask zofran option effect nausea disappear lickety split
-1|Extreme Nausea anxiety paranoia jerk suicidal homicidal week pregnant severe sickness kidney stone cause extreme nausea give iv time explain reaction benadryl actually anxiety million time bad rip iv time stab knock ativan t believe people offense especially pregnant woman dangerous nan
-1|cluster headache take compazine orally problem v compazine cause severe panic attack rip iv time hospital leave room administration get set give ativan bad feeling life pre exist anxiety condition begin think susceptible compazine induce anxiety clearly terrible reaction specific panic want hospital room suddenly fear leave claustrophobia set have iv tether bad little well ask bathroom room skin crawl racing thought race heart miserable take toridol benadryl awful anxiety combo try time separate visit help headache terrible reaction compazine ask drug allergy tell m allergic know reaction compazine reglan zofran request advance give benadryl administer curb anxiety
-1|sever nausea horrible panic attack minute couldn t concentrate couldn t sit hard drive home constant restlessness finally fall asleep take ativan tylenol pm wake feel restless crazy like totally tell reglan group medication hear bad reaction compazine reglan nan
-1|Migraine Nausea bad drug help migraine want crawl skin anxious move leg arm comfortable hospital bed didn t realize matter read site ativan help bunch nan
-1|go ER migraine nausia wish come site soon sunday morning go er migraine thing give compazine benedril immidiately feel like blender inside like el say want heck outa run day pass iam feel effect didn t know drug start research hope go away soon bad feel feel nervous restless inside t sleep appointment great doctor today post result soon
-1|nausea dystonic reaction neck jaw move uncontrollably have spasm painful stiff take mg pill start have progress symptom hour er give mg iv benadryl slightly decrease symptom eventually iv valium stop fully bad allergic reaction medication life time need er nan
-1|Migrane nausea wow m read rating wish ve know compazine insert go hospital migrane tell go compazine maybe minute begin feel anxious want leave hospital asap compazine insert fluid iv swear feel like want rip iv run honestly think anxiety come hospital discharge go home get anxiety attack remember shake have trouble breathe far bad feeling sit feel annoy finally take sleep aid sleep wake feel well feel like anxiety warn feel effect take feel completely normal definitely stay away compazine feel bad feeling feel life experience horrible drug
-1|severe vomiting drug awful exactly hrrid symptom last day iv dose severe vomiting nausea allergy caramel coloring like feel crazy like want run walk feel like wasn t right antsy understatement feel crazy like thought weren t understand drug legal finally day sleep meal finally sense return normalcy nan
-1|go ER migraine nausea sit straight hospital bed tell mom wrong tell nurse shake jittery skin crawl couldn t stop shake feel like hospital asap nurse give shot benedryl counteract reaction send home feel symptom day go family doctor tell affect central nervous system s feel way way stop shaky feeling last valium muscle relaxer relax cns day time day sleep pretty day take feel away feel normal night recommend phenegran nausea
-1|headache omg bad drug omg er migraine hell decide medication minute want beat people run damn place feel schizophrenic want leap skin hell place sure headache go rave lunatic threaten er staff violent angry anxious time n e v e r n e v e r g n
-1|Migraine give iv benadryl lessen effect health care person alert start feel severe anxienty like go jump skin die feel like go crazy call husband want leave er anti emitc well one home anti anxitey pill day pill go allergic list stay away
-1|headache lightheadness go hospital headache feel light head give compazine reglan benedryl iv min start feel panicky wierd call nurse tell check pulse say have anxiety attack feel like rip iv arm serveral minute ask feel terrible hour start feel little well like go home try sleep sleep heart race nt go hospital give ativan finally able sleep week later m feel affect medication night sleep take ativan feel restless extreme anxiety depression talk therapist week go mood stabilizer feel like go crazy day nt medicine well headache suffer horrible effect medicine
-1|go ER severe migraine er doctor give release home start feel like want kill feel like want roof jump weird feeling like extremely dangerous drug nan
-1|stomach virus go dystonic reaction soon give compazine go panic unlike way feel rip iv arm run hospital call mom pick pull get point white ghost head turn way left feel go break arm stretch nt use start go take drug bad experience life drug illegal wish anybody go
-1|Migrane anxiety panic fear restlessness tell return normal give drug early morning s pm symptom say feel like go nuts t sleep nd s want t stop move extremely jittery benedryl help wish talk nightmare
-1|severe nausea omgosh get hospital couldn t sit anxious try rip iv arm want run husband zero help think baby know wasn t think world go end go lose mind crazy acting ignore tell nurse act crazy m upset embarrassed drug think market m call hospital today tell happen act way ridiculous sick give crazy didn t realize criminal use drug circumstance
-1|Severe Migranes like rest affect paranoia restlessness get kinda severe affect jaw lock tongue start feel weird thing take forever finally benadryl fix happen twice time take leave system hour don t repeat wish go
-1|severe nausea vomit migraine feel awful give sone iv er terrible feel anxious m diagnose anxiety disorder say lot agitate want rip iv run away couldn t sit point urge shake head forceful glass fly face want end life right bad th feeling hopelessness level d experience literally feel like thing well pass rationally sort know couldn t help feel like hope live parent calm know harm normal behavior awful bad brush tell go away minute wasn t medicine help effect belie single traumatic exeperience life age go lot tough thing recommend people trouble help well drug treat thing s treat risk outweigh possible benefit don t use drug ethical remove market entirely suffer like well way wouldn t wish horrible effect give bad enemy believe forever afraid seek immediate medical attention experience drug t trust er doc don t want risk feel d die
-1|Migraine Nausea extreme anxiety restlessness body shake regular migraine severe ll nauseous go emergency room severe migraine nausea nurse inject compazine iv proceed tell time give compazine freak say give medicine think world gon na end completely freak pull iv vein try rush pick kid save feel like go crazy tell instantly pissed late turn medicine minute later feel anxious couldn t sit go fourth er couldn t sit begin jump try release pen energy anxiety arm leg shaky feel need feeling overwhelming feel crazy nurse say effect away hrs true feeling anxiety lessen last day want rest couldn t try sleep body alert jumpy june day experience small wave inexplicable anxiety problem feeling anxiety kind life feeling take medicine nt medicine accept medicine know complete info
-1|severe headache read experience advise effect suffer gad year sure me intensify anxiety fight control fine start iv drip try nap sit panicked push nurse bell repeatedly yelled something wrong take power rip iv run shake cry terrify sudden nurse nice hold hand try soothe feel trapped terrified take power scream blown panic attack occur heart race couldn t breathe want experience take minute panic settle anxious leave asap learn ask effect future horrible
-1|Anti Nausea Migraines severe paranoia anxiety take emergency room chronic migraine give compazine counter nausea know effect drug deal nausea deal paranoia feel
-1|headache relief ER uncontrolle shake anxiety overheat hospital give wife compazine iv bad headache immediately effect mention post happen uncontrolled shake arm leg feeling severe anxiety want pull iv leave hospital beg honestly scary experience ve ve see share drug mention er refuse well live symptom s suppose care
-1|migraine headache dizziness dizziness restlessness leg anxious go er help tell effect medication time give medication effect dangerous cause problem headache opinion
-1|Severe Migraine Panic Attack terrible sense suffocation skin crawl anxiety feel like go lose mind restless leg arm hurt badly abdomen churn pain doc look smile scary drug doctor s prescribe tell fda look restriction drug go er terrible migraine panic attack couldn t breathe terribly scared rarely headache kind anxiety doc wait hour unrelated medical record verify inject compazine think twilight zone breathing nausea bad suffocate headache persist want rip iv run feel profile patronize leave er feeling bad go expensive nightmare
-1|migraine instant severe anxiety panic burn hand arm doc come doppler listen baby s heart rate tell reaction brush tell touch time keep tell take doppler hand smash floor rip iv run home couldn t stay tired benadryl couldn t lie sleep throat pretty closed hard time breathe swallow advise drug reason nan
-1|headache stomache pain story u guy post go er give benedryl compazine iv tude couldn t sit want room jittery ct scan head doctor give don t ct scan area bother yeah muscle hurt time try chiropractic physical therapy neurologist don t know help feel doctor stupid yeah compazine medicine allergy bad feel life experience happen year ago symptom car accident young head close injury left body paralyze symptom come right body fine left body like edge hurt like pain move hurt rib forth doctor don t know don t know help try pain irritate feel like t top old injury horrible pain away ur doctor help u treat ur pain sorry don t remember dosage
-1|head hurt drug hell help s week give mad drug er people jesus nan
-1|Severe Migraine think go jump skin husband hold feel like wasn t going run er think die scare mind nan
-1|pre operatively ER Flu day pelvic surgery recovery room feel go skin extremely restless panicky depress desperately go home remember think s go thrash bed couldn t express thought move like maniac wasn t suppose couldn t stop feel like go crazy gyno surgery dismiss complaint idea talk year later er flu give compazine nausea bad experience life want die jump skin unable express feel weird slow motion paranoid want die echo contributor honestly think commit suicide live way wasn t give bendadryl think ativan possible counter ef learn experience give compazine iv prior pelvic surgery anesthesia team avoid nightmare bad second time know feel horrid surgery time insist give compazine nurse didn t believe stand ground ask pre op nausea don t compazine s cheap zofran s probably nausea speak
-1|Migraine Headache series migraine past week night decide opt torodol compazine iv minute feel completely trap feel like iv leave thing well leave feel trap car get home realize feel trap eventually lucent realize anxiety attack doctor recommend benedryl counteract anxiety improvement tomorrow night go adivan help hear day calm feel like couldn t lie sit walk feel like go leap skin die seriously death feel like tempting offer shed horrible feeling feel like hope feel d avoid work nice simple demerol vicodin perfectly fine pain me feel well drug worth agony feel anxiety hour later
-1|Migraine anxiety restlessness feeling like tell breathe trouble breathe give compazine benadryl migraine headache hospital receive compazine pill form nausea effect iv compazine lot people say make feel like go crazy anxious restless etc actually pull iv walk hospital basically beg nurse wife tell go pull didn t listen isn t technically allergic reaction allergic don t
-1|Severe Headache Nausea refer er visit outreach clinic severe headache neck pain nausea suffer family doctor vacation think need give dilaudid zofran iv help entirely doctor offer pain medicine give iv compazine benadryl experience like know couple minute wasn t right feel like control body feel trap like reviewer describe day feel edgy plan visit regular doctor monday sure permanent damage drug doctor nurse explain drug give impression pain relief didn t know kind psycho drug get drug
-1|tension headache think feel way take medication minute later couldn t straight like different world anxious want pull iv didn t want look couldn t sleep day induce sleep take homeopathy sleeping pill feel hopeless like point live couldn t concentrate vision cloudy imagine live like like point life feel like somebody bad experience ve life feel paranoid afraid leave home muscle tense hurt feel trap head couldn t escape thought have question existence existence world think doctor need warn people affect give medication medication headache take medicine try find alternative feel way
-1|nausea chemo wife go chemotherapy doctor give prescription compazine help nausea take direct time bad reaction begin panic walk room nervously come home work say nt know wrong minute start complain eye sight blur minute later jaw begin chew minute face freeze surprised look nt walk straight benadryl fix nt want like wife terrible reaction nt condemn drug altogether people bad reaction drug suggestion doctor prescribe drug commonly prescribe drug course go negative case
-1|ulcer relief nausea like lot rush er recieve drug face twisted low jaw uncontrollable feel ghost grab jaw slam medication give benedryl epi shot er day jaw agony don t risk look people die pain s worth avoid cost
-1|tingle left face effect different comment thank god actually think bad case nausea minute give compazine iv start get hot inside start twitch chair inside say run pace second sit soon sit control body head go arm slump chair leg fling hear nurse ask question respond mumbling come clear bad nausea believe handle pain well nausea experience bad feeling think go die nurse wet paper towel chest head cool hear dr medicine go patient don t know give warn effect medicine give compazine
-1|Migraine migraine go er give compazine benadryl mg toradol mg intravenously minute feel huge wave panic tell husband s wrong s right nurse anxiety problem tell nurse wrong leave feel like rip iv line arm run hospital body twitch couldn t sit second bad experience life feel like trap inside body fear life nurse come give mg ativan minute knock tired unable stay awake second couldn t sign discharge paper month have random panic attack prescription ativan doctor love nauseous go feeling
-1|Migraine pre eclampsia severe tremor muscle spasm jaw neck restlessness panic give benedryl antedote help despite shot verse reaction stop water break ordeal end deliver son week early c section have horrific reaction compazine recently give reglan benedryl pre treatment similar reaction reglan react drug similar benedryl iv cause milder version reaction nan
-1|Migraine muscle rigidity especially neck face throbbing headache pound heart restlessness panic jitter shake linger anxiety medication honestly think hell feel like completely inconsolable couldn t stop move extreme drowsiness time feel like want jump right hell body like go reality time think wear experience wave panic muscle rigidity horrible neck jaw shoulder permanent grimace face bad er experience life include spiral fracture tibia use caution experience experience heart go hang
